iter	Logloss
0	0.6535154063
1	0.6224186592
2	0.5989230705
3	0.5756605807
4	0.5579563935
5	0.5415373103
6	0.5294765743
7	0.5179799603
8	0.5088136649
9	0.4980564645
10	0.4906350377
11	0.4839378901
12	0.4770380517
13	0.4716827648
14	0.4656635565
15	0.4607762933
16	0.4566922598
17	0.4529916701
18	0.4488613965
19	0.4445223134
20	0.4418045597
21	0.4366815787
22	0.4345127548
23	0.4312302377
24	0.4278926312
25	0.4252878594
26	0.4221315142
27	0.4193115724
28	0.4162892475
29	0.4145115031
30	0.4127144834
31	0.410706157
32	0.4082608447
33	0.4066561312
34	0.405744669
35	0.4039119075
36	0.4024487634
37	0.3998701116
38	0.3971215155
39	0.3963132171
40	0.3946779627
41	0.3934324413
42	0.3908730432
43	0.3891068991
44	0.3877369457
45	0.3867241663
46	0.3852314355
47	0.3832755286
48	0.3820570654
49	0.3804312133
50	0.3789974455
51	0.3782534856
52	0.3763565932
53	0.3755743245
54	0.3738629573
55	0.3725860214
56	0.3713564977
57	0.3693251673
58	0.3667941622
59	0.3645649047
60	0.3637075551
61	0.3620478301
62	0.3608456549
63	0.3600488881
64	0.3587019423
65	0.3574482755
66	0.3555447144
67	0.3545062417
68	0.3533271321
69	0.3517693916
70	0.3503697012
71	0.3491024217
72	0.3468511798
73	0.34560466
74	0.3445933136
75	0.3434360365
76	0.3423563607
77	0.3412744354
78	0.3400651909
79	0.3391152866
80	0.3379335007
81	0.3369880486
82	0.3358273883
83	0.3343049584
84	0.3325650423
85	0.331645484
86	0.3307395383
87	0.329396787
88	0.3286557592
89	0.3279233082
