iter	Passed	Remaining
0	4	392
1	7	350
2	12	360
3	15	331
4	18	313
5	21	299
6	24	295
7	29	299
8	32	294
9	35	286
10	38	279
11	43	281
12	46	274
13	49	268
14	52	261
15	55	255
16	58	252
17	61	247
18	64	242
19	67	237
20	70	232
21	74	231
22	78	227
23	81	223
24	85	222
25	89	219
26	92	215
27	96	214
28	100	210
29	103	207
30	107	203
31	109	199
32	113	195
33	116	191
34	119	188
35	123	185
36	126	181
37	129	177
38	133	174
39	136	170
40	139	167
41	142	163
42	145	159
43	149	155
44	153	153
45	157	150
46	160	146
47	164	143
48	167	140
49	171	137
50	176	134
51	180	131
52	184	128
53	188	125
54	191	122
55	195	118
56	199	115
57	203	112
58	206	108
59	210	105
60	214	101
61	218	98
62	222	95
63	225	91
64	228	88
65	232	84
66	235	80
67	238	77
68	242	73
69	245	70
70	248	66
71	252	63
72	256	59
73	259	56
74	262	52
75	266	49
76	269	45
77	272	41
78	275	38
79	278	34
80	281	31
81	285	27
82	287	24
83	290	20
84	293	17
85	296	13
86	300	10
87	303	6
88	306	3
89	309	0
